metabolite	mz_expected	name	empCpd	Feature_ID	ion_relation		DmPA_Lucas_cellpellets_IV7	DmPA_Lucas_cellpellets_IV8	DmPA_Lucas_cellpellets_IV9	DmPA_Lucas_cellpellets_IV13	DmPA_Lucas_cellpellets_IV14	DmPA_Lucas_cellpellets_IV15	DmPA_Lucas_cellpellets_IV28	DmPA_Lucas_cellpellets_IV29	DmPA_Lucas_cellpellets_IV30	DmPA_Lucas_cellpellets_IV40	DmPA_Lucas_cellpellets_IV41	DmPA_Lucas_cellpellets_IV42	id_number	mz	rtime	snr	p_genotype	p_treatment	p_tim3_hypoxia	p_tim3_normoxia	p_o2_tim3wt	p_o2_tim3ko
C00149	295.1055639786327	L-Malate_dmpa*1	kp215_295.1055	F10106	M0,ACN	
C00149	295.1055639786327	L-Malate_dmpa*1	kp215_295.1055	F13638	M0,M+H+	
C00042	279.1106639786327	Succinate_dmpa*1	kp171_279.1106	F3726	M0,M+H+	
C00042	279.1106639786327	Succinate_dmpa*1	kp171_279.1106	F13543	M0,K/H	1515	24.25335210209631	20.40126572279059	22.09325721828941	19.15322149088487	23.111595052081395	23.768102714490777	23.229178996871266	23.40160403360161	22.00666394476809	22.99919550805785	23.38071510820768	23.33897678862567	F13543	318.0741	402.1	125	0.3241795968927637	0.9468441119372968	0.48403025490516915	0.640485580531797	0.9026342593621894	0.5019916469849082
C00042	279.1106639786327	Succinate_dmpa*1	kp171_279.1106	F1330	M0,Na/H	
C00042	279.1106639786327	Succinate_dmpa*1	kp171_279.1106	F4352	13C/12C,M+H+	
C00042	279.1106639786327	Succinate_dmpa*1	kp171_279.1106	F5000	13C/12C*2,M+H+	
C00042	279.1106639786327	Succinate_dmpa*1	kp395_279.1107	F4360	13C/12C,M+H+	468	21.58122082816965	21.984573091009956	20.95290603356636	21.72971153554422	21.86660154597028	21.45949287626256	21.53538801484556	21.830887931849677	21.79255969647533	22.13219042799188	21.16648846236801	21.48024826128452	F4360	281.1213	484.04	15	0.7833905554201894	0.9051362468852574	0.7864685409972211	0.5571444512983181	0.6232601192426004	0.706785901927507
C00042	279.1106639786327	Succinate_dmpa*1	kp395_279.1107	F3731	M0,M+H+	
C00042	279.1106639786327	Succinate_dmpa*1	kp396_279.1107	F3732	M0,M+H+	
C00042	279.1106639786327	Succinate_dmpa*1	kp396_279.1107	F4361	13C/12C,M+H+	
C00042	279.1106639786327	Succinate_dmpa*1	kp397_279.1107	F3733	M0,M+H+	
C00042	279.1106639786327	Succinate_dmpa*1	kp397_279.1107	F4362	13C/12C,M+H+	
C00042	279.1106639786327	Succinate_dmpa*1	kp398_279.1107	F4363	13C/12C,M+H+	
C00042	279.1106639786327	Succinate_dmpa*1	kp398_279.1107	F3734	M0,M+H+	
C00042	279.1106639786327	Succinate_dmpa*1	kp399_279.1107	F4364	13C/12C,M+H+	
C00042	279.1106639786327	Succinate_dmpa*1	kp399_279.1107	F3735	M0,M+H+	
C00042	279.1106639786327	Succinate_dmpa*1	kp400_279.1104	F4365	13C/12C,M+H+	
C00042	279.1106639786327	Succinate_dmpa*1	kp400_279.1104	F3739	M0,M+H+	
C00042	279.1106639786327	Succinate_dmpa*1	kp400_279.1104	F5005	13C/12C*2,M+H+	
C00122	438.17912795726534	Fumarate_dmpa*2	kp3314_438.1795	F38057	M0,M+H+	
C00122	438.17912795726534	Fumarate_dmpa*2	kp3314_438.1795	F38740	13C/12C,M+H+	
C00122	438.17912795726534	Fumarate_dmpa*2	kp3315_438.1795	F38059	M0,M+H+	4529	26.90066915281545	28.122415008725948	27.477529927240397	28.52260519158121	28.9945277288038	28.94031213655962	27.20773752131384	27.42834508627328	27.20452094635479	28.12632468082609	29.01667765838868	29.00122954650032	F38059	439.1864	438.61	50	0.5006330637049106	0.0002138919568186564	0.7725978901499124	0.5994004408232265	0.048535601806910876	0.03312794369546119
C00122	438.17912795726534	Fumarate_dmpa*2	kp3315_438.1795	F40887	13C/12C,Na/H	4899	17.012524543078268	19.639694399771876	19.334443908540383	17.012524543078268	20.30995180118544	19.91795224168237	17.012524543078268	17.012524543078268	17.012524543078268	17.012524543078268	22.69253151221142	17.012524543078268	F40887	462.1732	438.74	4645	0.4357829509838058	0.32834775594173404	0.9406149980403673	0.1850520559697423	0.7698409614592254	0.42264973081037405
C00122	438.17912795726534	Fumarate_dmpa*2	kp3315_438.1795	F39353	13C/12C*2,M+H+	4721	21.098514623937213	21.098514623937213	21.098514623937213	21.098514623937213	21.098514623937213	21.098514623937213	21.098514623937213	21.098514623937213	21.098514623937213	21.098514623937213	21.098514623937213	21.098514623937213	F39353	441.1924	438.48	99999	0.0	0.0				
C00122	438.17912795726534	Fumarate_dmpa*2	kp3315_438.1795	F51791	M0,K/H	
C00122	438.17912795726534	Fumarate_dmpa*2	kp3315_438.1795	F38741	13C/12C,M+H+	4620	24.25058677043269	20.115016568313354	25.223576082635844	26.283666867107048	23.074783218494517	26.67423518305257	25.01673618316398	24.99964928754552	24.938929118267502	25.97559265778876	27.03747897869942	26.80440777201565	F38741	440.1906	438.61	743	0.13543527547804435	0.07339421669120649	0.38524274108839063	0.37169112553004946	0.33512183512196664	0.03670577275024292
C00122	438.17912795726534	Fumarate_dmpa*2	kp3315_438.1795	F40667	13C/12C*3,M+H+	4870	21.565942637962426	21.565942637962426	21.565942637962426	21.565942637962426	21.565942637962426	21.565942637962426	21.565942637962426	21.565942637962426	21.565942637962426	21.565942637962426	21.565942637962426	21.565942637962426	F40667	442.1965	438.61	24808	0.0					
C00122	438.17912795726534	Fumarate_dmpa*2	kp3315_438.1795	F40190	M0,Na/H	4828	17.96277853904005	23.45533251844935	22.444299870613897	23.567753425611865	17.96277853904005	17.96277853904005	21.890626714307714	20.943823540223494	22.57891350756246	23.2630671076124	17.96277853904005	17.96277853904005	F40190	461.1694	438.74	584	0.8907957768380166	0.2605683218340969	0.9703926066138844	0.7924698025979178	0.5942779048463569	0.3615293200186964
C00149	456.1896279572654	L-Malate_dmpa*2	kp3202_456.1896	F54977	13C/12C*2,Na/H	
C00149	456.1896279572654	L-Malate_dmpa*2	kp3202_456.1896	F39460	13C/12C*3,M+H+	
C00149	456.1896279572654	L-Malate_dmpa*2	kp3202_456.1896	F38663	13C/12C*2,M+H+	
C00149	456.1896279572654	L-Malate_dmpa*2	kp3202_456.1896	F37144	M0,M+H+	
C00149	456.1896279572654	L-Malate_dmpa*2	kp3202_456.1896	F53385	M0,Na/H	
C00149	456.1896279572654	L-Malate_dmpa*2	kp3202_456.1896	F54334	13C/12C,Na/H	6664	17.23407159005775	17.23407159005775	17.23407159005775	17.23407159005775	17.23407159005775	17.23407159005775	17.23407159005775	17.23407159005775	17.23407159005775	17.23407159005775	17.23407159005775	17.23407159005775	F54334	480.1821	422.59	171	0.12747766454486448	1.0				
C00149	456.1896279572654	L-Malate_dmpa*2	kp3202_456.1896	F37904	13C/12C,M+H+	4509	15.176803379666206	15.176803379666206	19.146352557835304	22.64635200590707	15.176803379666206	19.202565141245813	15.176803379666206	15.176803379666206	15.176803379666206	18.42113026891922	15.176803379666206	18.20976768930446	F37904	458.199	422.72	128	0.2668259969276003	0.10904243160285278	0.5227023069617289	0.4226497308103738	0.38841891426902886	0.18396587136335202
C01169	629.2593279572654	S-Succinyldihydrolipoamide_dmpa*2	kp7135_629.2624	F13068	13C/12C*4, 2x charged,M+H+, 2x charged	
C01169	629.2593279572654	S-Succinyldihydrolipoamide_dmpa*2	kp7135_629.2624	F9377	13C/12C*3, 2x charged,K/H, 2x charged	1030	17.694103860902576	18.418550679378725	17.867461074308842	18.221173398846208	19.744845823682414	17.433859697440305	21.11659293344725	22.059270234690526	22.04202234056175	21.306159537714404	21.91897015121943	21.32629462322302	F9377	336.1205	381.36	519	1.2581451507268734e-05	0.7584325072349367	0.03710798311325513	0.0010106633760287697	0.5645401820025362	0.5863190919934398
C01169	629.2593279572654	S-Succinyldihydrolipoamide_dmpa*2	kp7135_629.2624	F10991	M0,M+H+, 2x charged	
C01169	629.2593279572654	S-Succinyldihydrolipoamide_dmpa*2	kp7135_629.2624	F12074	13C/12C*2, 2x charged,M+H+, 2x charged	
