metabolite	mz_expected	name	empCpd	Feature_ID	ion_relation		DmPA_Lucas_cellpellets_IV7	DmPA_Lucas_cellpellets_IV8	DmPA_Lucas_cellpellets_IV9	DmPA_Lucas_cellpellets_IV13	DmPA_Lucas_cellpellets_IV14	DmPA_Lucas_cellpellets_IV15	DmPA_Lucas_cellpellets_IV28	DmPA_Lucas_cellpellets_IV29	DmPA_Lucas_cellpellets_IV30	DmPA_Lucas_cellpellets_IV40	DmPA_Lucas_cellpellets_IV41	DmPA_Lucas_cellpellets_IV42	id_number	mz	rtime	snr	p_genotype	p_treatment	p_tim3_hypoxia	p_tim3_normoxia	p_o2_tim3wt	p_o2_tim3ko
C00149	295.1055639786327	L-Malate_dmpa*1	kp215_295.1055	F10106	M0,ACN	
C00149	295.1055639786327	L-Malate_dmpa*1	kp215_295.1055	F13638	M0,M+H+	
C00022	249.1000639786327	Pyruvate_dmpa*1	kp15_249.1004	F4794	13C/12C*4,M+H+	500	14.42104699277552	14.42104699277552	14.42104699277552	14.42104699277552	16.949875093154226	19.43389871693664	14.42104699277552	14.42104699277552	14.42104699277552	14.42104699277552	14.42104699277552	14.42104699277552	F4794	254.121	394.75	74	0.15084487129584362	0.15084487129584315	0.2244868119011127	1.0	0.2244868119011127	1.0
C00022	249.1000639786327	Pyruvate_dmpa*1	kp15_249.1004	F17657	13C/12C,Na/H	2017	14.31129598000934	17.3219273357043	14.31129598000934	18.687472491631105	21.288090264024365	19.212689442837934	14.31129598000934	14.31129598000934	17.20842626699798	19.261254353758765	14.31129598000934	22.39310013026988	F17657	273.094	396.19	12	0.6907444305049582	0.018190387504855538	0.700466419660937	0.9796311076981222	0.028282823553595442	0.28667633782008906
C00022	249.1000639786327	Pyruvate_dmpa*1	kp15_249.1004	F4137	13C/12C*3,M+H+	452	20.023847839345	22.22611610914017	22.283886578976343	17.701925157667787	24.101236822811533	24.735109173373612	21.221719514332616	20.2799540296632	20.197441351739897	20.971712894223405	21.7560638704606	23.34698318557797	F4137	253.1181	394.75	65	0.6525759229077546	0.3912566443470856	0.9527378169111027	0.3360697708441014	0.7999162619123791	0.1603595715234813
C00022	249.1000639786327	Pyruvate_dmpa*1	kp15_249.1004	F3236	13C/12C*2,M+H+	
C00022	249.1000639786327	Pyruvate_dmpa*1	kp15_249.1004	F7506	M0,HCl	
C00022	249.1000639786327	Pyruvate_dmpa*1	kp15_249.1004	F17110	M0,Na/H	
C00022	249.1000639786327	Pyruvate_dmpa*1	kp15_249.1004	F2649	13C/12C,M+H+	
C00022	249.1000639786327	Pyruvate_dmpa*1	kp15_249.1004	F8152	13C/12C,HCl	
C00022	249.1000639786327	Pyruvate_dmpa*1	kp279_249.1001	F17103	M0,Na/H	
C00022	249.1000639786327	Pyruvate_dmpa*1	kp279_249.1001	F1792	13C/12C*5,Na/H	
C00022	249.1000639786327	Pyruvate_dmpa*1	kp279_249.1001	F4132	13C/12C*3,M+H+	447	20.154104886371343	19.919098353826797	19.36323185382141	14.886376307976644	22.539209451276975	23.44389338699492	18.297347505025645	17.208266294134834	18.42807292937049	18.8238072459638	19.332477796147717	21.119217669765888	F4132	253.1181	373.48	5	0.40557998673033135	0.4264046046503557	0.8652895575697223	0.022556598003846677	0.8767523498813286	0.10771911622276827
C00022	249.1000639786327	Pyruvate_dmpa*1	kp279_249.1001	F3235	13C/12C*2,M+H+	
C00022	249.1000639786327	Pyruvate_dmpa*1	kp279_249.1001	F2643	13C/12C,M+H+	
C00022	249.1000639786327	Pyruvate_dmpa*1	kp279_249.1001	F17654	13C/12C,Na/H	2016	18.729288252988237	21.95575086281472	21.465954692437396	21.67634912509493	22.765176963376568	18.729288252988237	21.585711097337388	18.729288252988237	21.620245913988203	21.392088053434804	18.729288252988237	22.67752709023155	F17654	273.094	373.35	25	0.9259913842316418	0.766446193723785	0.9445527328956815	0.9611558078284281	0.8393806768485108	0.8580772549570466
C00149	456.1896279572654	L-Malate_dmpa*1	kp3202_456.1896	F54977	13C/12C*2,Na/H	
C00149	456.1896279572654	L-Malate_dmpa*1	kp3202_456.1896	F39460	13C/12C*3,M+H+	
C00149	456.1896279572654	L-Malate_dmpa*1	kp3202_456.1896	F38663	13C/12C*2,M+H+	
C00149	456.1896279572654	L-Malate_dmpa*1	kp3202_456.1896	F37144	M0,M+H+	
C00149	456.1896279572654	L-Malate_dmpa*1	kp3202_456.1896	F53385	M0,Na/H	
C00149	456.1896279572654	L-Malate_dmpa*1	kp3202_456.1896	F54334	13C/12C,Na/H	6664	17.23407159005775	17.23407159005775	17.23407159005775	17.23407159005775	17.23407159005775	17.23407159005775	17.23407159005775	17.23407159005775	17.23407159005775	17.23407159005775	17.23407159005775	17.23407159005775	F54334	480.1821	422.59	171	0.12747766454486448	1.0				
C00149	456.1896279572654	L-Malate_dmpa*1	kp3202_456.1896	F37904	13C/12C,M+H+	4509	15.176803379666206	15.176803379666206	19.146352557835304	22.64635200590707	15.176803379666206	19.202565141245813	15.176803379666206	15.176803379666206	15.176803379666206	18.42113026891922	15.176803379666206	18.20976768930446	F37904	458.199	422.72	128	0.2668259969276003	0.10904243160285278	0.5227023069617289	0.4226497308103738	0.38841891426902886	0.18396587136335202
