	DmPA_Lucas_cellpellets_IV7	DmPA_Lucas_cellpellets_IV8	DmPA_Lucas_cellpellets_IV9	DmPA_Lucas_cellpellets_IV13	DmPA_Lucas_cellpellets_IV14	DmPA_Lucas_cellpellets_IV15	DmPA_Lucas_cellpellets_IV28	DmPA_Lucas_cellpellets_IV29	DmPA_Lucas_cellpellets_IV30	DmPA_Lucas_cellpellets_IV40	DmPA_Lucas_cellpellets_IV41	DmPA_Lucas_cellpellets_IV42	id_number	mz	rtime	snr	p_genotype	p_treatment	p_tim3_hypoxia	p_tim3_normoxia	p_o2_tim3wt	p_o2_tim3ko	name	ion_relation	isotopologue
0	17.52148937998119	17.52148937998119	17.52148937998119	17.52148937998119	17.52148937998119	17.52148937998119	17.52148937998119	17.52148937998119	17.52148937998119	23.43212890070476	17.52148937998119	17.52148937998119	F6	246.1004	562.96	3941	0.3434363961379143	0.3434363961379127	0.4226497308103745			0.4226497308103745	Acetate_dmpa*1	Na+	m+13C*2
1	26.06595772630183	26.06595772630183	26.06595772630183	26.06595772630183	26.06595772630183	26.06595772630183	26.06595772630183	26.06595772630183	26.06595772630183	26.06595772630183	28.3878858047595	26.06595772630183	F131	274.1059	380.57	181	0.3434363961379145	0.3434363961379115	0.4226497308103742			0.4226497308103742	(S)-Lactate_dmpa*1	Na+	M0
2	28.80390217713689	28.80390217713689	28.80390217713689	28.80390217713689	28.80390217713689	28.80390217713689	28.80390217713689	28.80390217713689	28.80390217713689	28.80390217713689	31.12583026956148	28.80390217713689	F132	274.1059	385.3	160	0.3434363961379135	0.3434363961379127	0.4226497308103736			0.4226497308103736	(S)-Lactate_dmpa*1	Na+	M0
3	22.37864219114841	22.186986201735227	21.043810314250475	21.31761371249182	22.850976952992365	21.7673129054181	21.218509330978502	22.139464959152104	22.848723459836474	22.40889244066928	22.11134693961429	21.17512315159592	F174	274.1438	428.76	7	0.8875251031265703	0.9415425959040886	0.8983044050292381	0.7678709460700303	0.8686409312872077	0.7914336074537368	S-Acetyldihydrolipoamide	NH4+	m+13C*7
4	21.610750401914853	22.11374271281716	21.705755941836003	22.02932394923661	21.932407750399364	21.99913616494644	21.81937557958412	21.53326384751282	21.90880768582384	21.697664597449045	21.58653618623559	21.732550928250813	F178	274.1438	515.16	167	0.1052446991421662	0.65458429942689	0.0062567916908638	0.7846337695478119	0.3702562252834744	0.5569974938529884	S-Acetyldihydrolipoamide	NH4+	m+13C*7
5	14.22069902446862	19.36981185727639	17.455494941425883	17.920367783770384	18.58075573909609	18.773126812671528	18.04169782481805	19.72355842036951	17.205129839597205	18.9462949157245	18.86186082543648	14.22069902446862	F471	326.1388	363.76	157	0.9242326604124388	0.8570711936900439	0.5615923957770451	0.49329544658708	0.448150752056608	0.6119495327640581	(S)-Malate_dmpa*1	ACN+	m+13C*2
6	14.790961338294553	19.484542030356053	19.112259056036947	20.45468850849124	19.85101591850294	19.66354086404391	19.223029218228888	19.58925354179423	20.632095871505417	18.426439508350448	17.11284871882059	14.790961338294553	F480	326.1388	504.79	103	0.6448446138689239	0.7437628029837369	0.0876870414791491	0.310793822700902	0.2812916583972154	0.0885220710668049	(S)-Malate_dmpa*1	ACN+	m+13C*2
7	19.97402710336429	19.865328210357536	16.49588720815741	20.0554617891788	19.722858467565693	19.12216414291394	20.525257641734022	20.35746220827418	20.026483724171023	16.49588720815741	21.41996484746924	20.8713189211968	F532	275.1471	435.06	1140	0.457744549187021	0.9402405023517608	0.9830051589113324	0.3128344839169715	0.5352653536469678	0.6948691102390154	S-Acetyldihydrolipoamide	NH4+	m+13C*8
8	21.237901076338133	21.10058014290099	17.818261167624858	20.670292951608605	17.818261167624858	21.639460408889924	21.38905936734289	17.818261167624858	21.58971853318684	21.58103256563784	17.818261167624858	20.140184268677142	F600	326.1646	362.32	24	0.9938239474487892	0.8476204903417366	0.9075595266495986	0.9038538738529658	0.9955154428808256	0.8114420756818699	2-Acetolactate_dmpa*1	ACN+	m+13C*4
9	15.316103525179113	15.316103525179113	15.316103525179113	15.316103525179113	15.316103525179113	15.316103525179113	15.316103525179113	15.316103525179113	15.316103525179113	15.316103525179113	21.56776149913346	15.316103525179113	F1228	276.087	394.62	2432	0.3434363961379137	0.343436396137913	0.422649730810374	1.0	1.0	0.422649730810374	S-Acetyldihydrolipoamide	Na+	m+13C*4
10	16.092375768248687	16.092375768248687	16.092375768248687	16.092375768248687	16.092375768248687	16.092375768248687	16.092375768248687	16.092375768248687	16.092375768248687	19.13242087870793	16.092375768248687	16.092375768248687	F1230	276.0893	483.12	525	0.3434363961379139	0.3434363961379127	0.4226497308103737			0.4226497308103737	S-Acetyldihydrolipoamide	Na+	m+13C*4
11	28.014670464423183	23.66330353785119	26.422954286818904	26.018809001956896	26.9741161578706	27.712302183445296	27.71555316141849	27.514102434429304	26.55333682023071	27.20572549631597	27.35177402217903	27.34099265115324	F1329	302.1	402.1	121	0.2618036661795448	0.5209609167830581	0.5027300516014546	0.4390974838734289	0.5759437078555647	0.924648065868859	Succinate_dmpa*1	Na+	M0
