	DmPA_Lucas_cellpellets_IV4	DmPA_Lucas_cellpellets_IV5	DmPA_Lucas_cellpellets_IV6	DmPA_Lucas_cellpellets_IV10	DmPA_Lucas_cellpellets_IV11	DmPA_Lucas_cellpellets_IV12	DmPA_Lucas_cellpellets_IV22	DmPA_Lucas_cellpellets_IV23	DmPA_Lucas_cellpellets_IV24	DmPA_Lucas_cellpellets_IV34	DmPA_Lucas_cellpellets_IV35	DmPA_Lucas_cellpellets_IV36	id_number	mz	rtime	snr	p_genotype	p_treatment	p_tim3_hypoxia	p_tim3_normoxia	p_o2_tim3wt	p_o2_tim3ko	name	ion_relation	isotopologue
0	17.52148937998119	17.52148937998119	17.52148937998119	17.52148937998119	17.52148937998119	17.52148937998119	17.52148937998119	17.52148937998119	22.53927733731016	21.35747899731277	17.52148937998119	17.52148937998119	F6	246.1004	562.96	3941	0.1720746702580174	0.847425058160176	0.4226497308103746	0.4226497308103742		0.8612759160995239	Acetate_dmpa*1	Na+	m+13C*2
1	26.06595772630183	26.06595772630183	26.06595772630183	26.06595772630183	26.06595772630183	26.06595772630183	26.06595772630183	26.06595772630183	26.06595772630183	26.06595772630183	29.10928197260708	26.06595772630183	F131	274.1059	380.57	181	0.3434363961379143	0.3434363961379119	0.4226497308103728			0.4226497308103728	(S)-Lactate_dmpa*1	Na+	M0
2	28.80390217713689	28.80390217713689	28.80390217713689	28.80390217713689	28.80390217713689	28.80390217713689	28.80390217713689	28.80390217713689	28.80390217713689	28.80390217713689	31.42831961333105	28.80390217713689	F132	274.1059	385.3	160	0.3434363961379136	0.3434363961379121	0.4226497308103749			0.4226497308103749	(S)-Lactate_dmpa*1	Na+	M0
3	21.64189216706452	21.34194312514332	20.634166820127536	21.49160702617224	20.31688506704368	20.66317049364119	22.150542218640272	21.05530473301989	21.69055993231096	21.42378445348664	21.93919243014553	22.290961974456632	F174	274.1438	428.76	7	0.0387136395686094	0.8377437595530638	0.0753768814453125	0.3838769502970021	0.4529903367734381	0.5686312560223924	S-Acetyldihydrolipoamide	NH4+	m+13C*7
4	21.602059948600463	21.78031494641269	21.63327561847523	21.46426643378318	21.916649387899508	21.934675284940795	21.90154781291986	21.86271434089666	21.525346871776865	21.539601876145635	21.72944362164888	21.679401107762136	F178	274.1438	515.16	167	0.886006175737039	0.9494104357332658	0.5187035433330162	0.540401003459133	0.591674834549139	0.4559458616209569	S-Acetyldihydrolipoamide	NH4+	m+13C*7
5	14.22069902446862	14.22069902446862	18.148394742515908	16.784683653847747	14.22069902446862	18.839884781467514	14.22069902446862	16.542566666522802	14.22069902446862	19.671598825613483	16.842505479129976	17.448338620817708	F471	326.1388	363.76	157	0.7085090572751334	0.0927955592738687	0.4441856426836773	0.7465010374817823	0.5929705326106138	0.0615607149128567	(S)-Malate_dmpa*1	ACN+	m+13C*2
6	14.790961338294553	14.790961338294553	19.58267518783252	19.177086724406905	14.790961338294553	19.82057009412533	20.267217733841537	14.790961338294553	20.687167647189938	19.53587666733636	14.790961338294553	14.790961338294553	F480	326.1388	504.79	103	0.8551265034108749	0.848125854510691	0.5245417298737107	0.428031100338102	0.5304125795400271	0.4234765745231392	(S)-Malate_dmpa*1	ACN+	m+13C*2
7	19.84555325725137	18.941530651424788	19.99947630949048	20.10793745798276	18.85551440606616	21.160361248480587	20.679331453992567	16.49588720815741	21.3828209184704	21.38660369385916	16.49588720815741	18.95250491431192	F532	275.1471	435.06	1140	0.5917666246877753	0.9527055705883868	0.535568050312312	0.9651668552060536	0.5920342969711218	0.7960560873600149	S-Acetyldihydrolipoamide	NH4+	m+13C*8
8	20.9869831675012	17.818261167624858	21.37120043063128	21.411316235798783	20.97152407763265	17.818261167624858	21.586806821613006	17.818261167624858	17.818261167624858	20.905772860599487	17.818261167624858	17.818261167624858	F600	326.1646	362.32	24	0.3317005166292446	0.9211107927184304	0.4702713150724995	0.5911828392639981	0.9961381154880522	0.8958300573818236	2-Acetolactate_dmpa*1	ACN+	m+13C*4
9	15.316103525179113	15.316103525179113	15.316103525179113	15.316103525179113	15.316103525179113	21.876165808346773	15.316103525179113	15.316103525179113	15.316103525179113	21.48981609359172	15.316103525179113	15.316103525179113	F1228	276.087	394.62	2432	0.9647142456237292	0.1680700597364771	0.9678532971321364	1.0	0.422649730810374	0.4226497308103741	S-Acetyldihydrolipoamide	Na+	m+13C*4
